Timestamp,PM2.5 (ug/m³),PM10 (ug/m³),NO (ug/m³),NO2 (ug/m³),NOx (ppb),NH3 (ug/m³),SO2 (ug/m³),CO (mg/m³),Ozone (ug/m³),Benzene (ug/m³),Toluene (ug/m³),Eth-Benzene (ug/m³),MP-Xylene (ug/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),AQI
01-01-2024 00:00,64.35,151.05,4.74,59.62,24.46,10.57,4.42,0.89,60.99,1.06,33.64,3.18,4.75,22.83,70.36,1.11,125.45,0.0,0.0,145.5,29.0,40,0.0,971.8,4.0,4.8,100,103,156
01-01-2024 01:00,67.21,134.57,4.52,45.68,19.56,10.57,4.42,0.68,60.99,0.82,33.17,3.8,4.81,24.46,64.77,1.35,123.65,0.0,0.0,273.3,29.2,38,0.0,971.0,3.3,4.0,84,85,157
01-01-2024 02:00,86.03,126.54,3.07,31.91,14.11,5.72,6.29,0.78,140.57,0.76,29.28,3.52,4.1,25.84,59.0,1.44,130.5,0.0,0.0,253.6,29.1,38,0.0,970.4,3.0,3.3,76,77,167
01-01-2024 03:00,73.77,128.48,2.58,29.64,13.09,7.88,6.29,0.82,96.33,0.89,30.8,3.32,4.53,26.98,53.95,1.42,128.34,0.0,0.0,252.28,28.7,40,0.0,970.6,3.1,4.0,69,80,160
01-01-2024 04:00,65.9,118.02,2.66,26.13,11.92,6.93,6.29,0.8,99.36,0.83,30.99,3.46,4.92,28.1,49.28,1.11,113.28,0.0,0.0,464.5,26.0,62,0.0,970.5,5.7,6.0,55,73,156
01-01-2024 05:00,65.05,102.0,1.9,21.2,9.86,10.89,6.29,0.74,103.2,1.08,30.99,3.63,5.32,29.06,45.15,0.94,106.25,0.0,0.0,400.45,23.9,59,0.0,971.3,6.6,16.5,68,74,156
01-01-2024 06:00,58.39,91.19,1.78,20.15,9.43,8.7,6.29,0.82,108.25,0.94,28.68,3.44,4.74,29.31,42.63,0.92,112.0,0.0,0.0,306.75,23.4,58,0.0,972.2,7.6,19.8,90,88,152
01-01-2024 07:00,49.14,81.16,1.89,22.1,10.16,8.3,4.64,0.8,108.41,0.92,29.18,3.49,4.94,29.31,43.79,1.12,132.08,0.0,0.0,212.05,22.4,62,0.0,972.8,8.0,19.7,117,105,135
01-01-2024 08:00,46.05,82.32,1.76,23.84,10.69,7.9,4.88,0.82,105.75,0.9,30.97,3.55,4.96,28.89,44.23,1.19,115.54,0.0,0.0,79.28,21.6,67,0.0,972.9,7.1,18.8,120,116,127
01-01-2024 09:00,45.81,87.99,1.74,47.3,18.73,9.61,4.8,0.84,95.63,1.0,29.76,3.75,4.97,27.71,47.84,1.14,120.2,0.0,0.0,0.08,20.5,71,0.0,972.9,7.4,20.1,113,117,126
