Timestamp,PM2.5 (ug/m³),PM10 (ug/m³),NO (ug/m³),NO2 (ug/m³),NOx (ppb),NH3 (ug/m³),SO2 (ug/m³),CO (mg/m³),Ozone (ug/m³),Benzene (ug/m³),Toluene (ug/m³),Eth-Benzene (ug/m³),MP-Xylene (ug/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),AQI
01-01-2024 00:00,72.0,145.9,11.58,45.81,31.02,10.79,4.28,0.95,7.54,7.61,30.93,5.84,16.17,22.12,70.69,0.61,161.39,0.0,0.0,0.0,16.1,87,0.0,947.1,5.2,12.2,34,90,160
01-01-2024 01:00,74.82,142.88,10.51,42.19,28.28,11.44,4.04,1.02,6.85,16.3,28.81,4.58,14.75,21.49,72.47,0.87,147.49,0.0,0.0,0.0,16.1,86,0.0,948.2,8.1,16.6,45,85,161
01-01-2024 02:00,77.37,140.17,5.74,42.4,24.57,14.96,3.54,0.98,12.79,10.71,29.1,4.02,12.5,20.99,73.67,0.92,197.23,0.0,0.0,0.0,16.2,84,0.0,948.9,8.2,16.9,52,89,162
01-01-2024 03:00,77.0,135.67,2.97,36.25,19.13,10.72,4.1,0.77,16.72,5.44,29.41,4.03,11.3,20.77,72.33,0.99,213.94,0.0,0.0,0.0,18.5,76,0.0,950.1,8.6,16.2,57,93,162
01-01-2024 04:00,76.09,135.9,2.88,25.95,13.63,10.24,4.46,0.68,19.4,4.01,26.3,2.83,9.74,20.49,71.2,1.04,196.12,0.0,0.0,0.0,21.7,64,0.0,951.3,6.3,10.4,77,88,162
01-01-2024 05:00,71.14,120.36,3.4,23.79,12.97,10.35,4.65,0.62,17.56,4.16,25.59,3.13,10.11,20.2,71.17,0.85,136.53,0.0,0.0,0.0,24.5,54,0.0,951.5,6.2,8.1,100,103,159
01-01-2024 06:00,67.91,118.42,3.49,25.93,14.13,10.49,4.27,0.65,15.04,4.53,23.21,2.29,7.68,19.7,73.07,1.05,116.18,0.0,0.0,0.0,26.8,46,0.0,950.9,5.5,7.3,122,123,157
01-01-2024 07:00,73.23,120.85,4.12,30.06,16.82,10.46,5.42,0.78,12.22,4.63,21.67,2.06,7.71,19.77,72.64,0.8,212.0,0.0,0.0,2.7,28.2,39,0.0,950.0,4.5,5.9,166,169,160
01-01-2024 08:00,80.14,138.88,4.8,31.38,18.04,10.63,6.02,0.85,14.84,5.71,24.08,2.72,10.76,20.92,68.98,1.1,143.45,0.0,0.0,46.0,28.7,35,0.0,948.8,5.5,7.0,212,215,164
01-01-2024 09:00,83.32,154.52,4.43,29.48,16.76,11.15,7.68,0.77,37.08,4.38,20.05,1.6,6.85,22.95,61.31,1.32,142.8,0.0,0.0,191.18,28.8,34,0.0,948.1,5.6,6.9,220,223,165
01-01-2024 10:00,82.12,150.22,3.96,28.85,16.02,10.76,13.79,0.76,48.92,3.88,19.4,1.34,5.77,25.37,53.2,1.32,142.3,0.0,0.0,350.36,28.7,33,0.0,947.7,4.0,5.1,180,188,165
01-01-2024 11:00,76.79,146.17,4.3,26.7,15.19,10.06,10.4,0.64,60.85,3.48,18.19,1.34,5.26,27.38,47.84,1.32,145.85,0.0,0.0,480.48,28.4,33,0.0,947.2,5.7,6.9,145,152,162
01-01-2024 12:00,72.03,140.49,3.22,22.38,12.06,9.93,5.48,0.55,68.34,2.77,16.24,1.16,4.68,28.83,43.18,1.21,147.88,0.0,0.0,530.2,26.5,46,0.0,946.9,4.3,9.1,138,146,160
01-01-2024 13:00,60.61,118.93,2.85,16.46,8.69,10.39,5.31,0.47,75.72,2.06,14.92,0.83,3.72,30.16,37.71,0.94,132.64,0.0,0.0,517.38,24.0,48,0.0,947.4,7.1,14.8,300,304,154
01-01-2024 14:00,53.53,100.16,2.94,20.7,10.98,11.0,4.8,0.48,80.47,1.51,15.17,0.74,3.02,30.06,37.38,0.79,135.89,0.0,0.0,343.1,22.9,49,0.0,948.1,10.0,21.0,308,309,145
01-01-2024 15:00,49.24,92.68,3.32,19.87,10.82,10.17,5.86,0.48,86.0,1.35,17.1,0.66,2.73,29.8,37.78,0.73,150.62,0.0,0.0,184.44,22.1,58,0.0,948.9,14.3,27.8,315,317,135
01-01-2024 16:00,53.46,93.62,2.86,24.65,13.7,12.42,6.13,0.58,71.63,1.95,22.03,1.01,4.07,28.92,39.75,0.86,165.92,0.0,0.0,84.67,21.2,67,0.0,949.3,13.0,26.1,321,322,145
01-01-2024 17:00,55.1,109.23,3.11,39.6,21.74,12.14,4.77,0.77,63.64,2.23,25.52,5.05,5.77,27.72,44.58,1.07,145.65,0.0,0.0,13.02,20.5,72,0.0,949.2,10.8,23.7,334,338,149
01-01-2024 18:00,59.52,118.1,3.52,54.01,29.6,12.48,5.52,0.91,39.45,3.5,47.4,11.35,13.75,26.02,50.71,1.19,196.98,0.0,0.0,0.0,18.6,82,0.0,948.7,7.3,11.8,281,329,153
01-01-2024 19:00,64.22,137.08,8.22,77.82,45.82,17.74,3.84,1.47,9.7,5.42,89.71,12.84,34.65,24.92,55.11,0.78,172.13,0.0,0.0,0.0,19.3,78,0.0,948.4,2.6,5.0,304,360,156
01-01-2024 20:00,81.06,169.18,3.06,36.77,20.18,13.32,3.15,0.82,14.33,7.09,77.62,14.49,40.3,25.02,54.55,1.09,139.7,0.0,0.0,0.0,17.3,89,0.0,947.7,4.7,9.4,337,356,164
01-01-2024 21:00,75.85,156.69,2.57,25.07,13.72,12.96,3.53,0.74,18.14,4.6,54.46,6.89,24.88,24.32,62.88,0.88,150.46,0.0,0.0,0.0,16.0,94,0.0,946.7,5.9,9.5,349,25,162
01-01-2024 22:00,76.93,232.27,2.72,28.16,15.44,12.44,3.29,0.75,20.9,5.14,34.75,5.96,24.4,23.81,68.77,0.79,130.39,0.0,0.0,0.0,16.1,92,0.0,946.3,4.4,9.2,351,39,162
01-01-2024 23:00,76.99,162.78,2.4,27.61,14.86,11.67,3.4,0.8,18.78,4.8,36.19,4.65,17.93,23.17,72.72,0.98,122.21,0.0,0.0,0.0,16.4,89,0.0,946.5,4.3,6.6,360,61,162
02-01-2024 00:00,79.17,156.17,2.86,24.19,13.47,12.11,3.19,0.76,18.84,4.97,40.33,4.08,13.29,22.8,75.51,1.15,127.43,0.0,0.0,0.0,16.8,87,0.0,946.9,3.4,6.9,18,99,163
02-01-2024 01:00,88.07,154.68,3.0,26.03,14.55,11.68,4.21,0.71,13.58,4.35,27.32,3.75,11.63,22.01,78.53,1.03,176.15,0.0,0.0,0.0,15.7,89,0.0,947.5,6.1,15.5,62,91,168
02-01-2024 02:00,88.64,155.77,2.43,26.3,14.23,12.18,3.39,0.76,12.87,4.37,23.82,2.79,9.45,21.28,81.19,1.01,161.25,0.0,0.0,0.0,16.0,86,0.0,948.0,6.3,16.3,66,95,168
02-01-2024 03:00,83.41,139.9,2.65,27.91,15.23,12.26,3.27,0.77,9.55,4.81,22.72,2.42,8.11,20.86,82.8,0.91,168.59,0.0,0.0,0.0,18.6,75,0.0,949.2,7.6,15.5,65,90,165
02-01-2024 04:00,85.0,141.37,2.71,32.93,17.88,12.43,2.67,0.86,9.28,6.14,35.21,4.35,8.52,20.64,83.56,1.07,154.75,0.0,0.0,0.0,21.4,64,0.0,950.2,6.3,9.8,77,82,166
02-01-2024 05:00,85.92,164.33,2.64,31.78,17.25,12.77,2.94,0.85,9.25,6.54,41.38,5.31,8.2,20.26,84.46,0.85,152.44,0.0,0.0,0.0,24.3,54,0.0,950.4,6.5,8.3,93,95,167
