Timestamp,PM2.5 (ug/m³),PM10 (ug/m³),NO (ug/m³),NO2 (ug/m³),NOx (ppb),SO2 (ug/m³),CO (mg/m³),Ozone (ug/m³),Benzene (ug/m³),MP-Xylene (ug/m³),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),BP (mmHg),temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),AQI
01-01-2024 00:00,13.32,21.36,7.79,6.28,14.07,3.77,0.86,9.55,1.24,6.755,20.06,1.05,0,96.46,946.86,20.2,61,0,951.2,12.6,23.4,257,266,54
01-01-2024 01:00,14.0925,22.6025,8.2425,6.6475,14.89,3.9875,0.86,10.105,1.24,2.435,24.3925,1.05,0,41.7575,947.08,19.3,66,0,951.2,11.2,23.1,255,265,55
01-01-2024 02:00,10.5025,16.845,6.1425,4.955,11.0975,2.9725,0.86,7.53,1.24,2.823333333,33.685,1.05,0,3.433333333,947.7325,18.6,71,0,950.8,11.4,23,246,261,44
01-01-2024 03:00,18.1175,29.055,10.5975,8.545,19.1425,5.1275,0.86,12.99,1.24,1.23625,42.075,1.05,0,3.433333333,948.68,18.2,71,0,950.5,7.7,19,242,251,64
01-01-2024 04:00,10.91,17.4975,6.3825,5.1475,11.5275,3.0875,0.86,7.8225,1.24,1.25875,49.625,1.05,0,0.046666667,949.5275,17.3,75,0,950.1,6.1,10.8,230,249,45
01-01-2024 05:00,26.635,42.7175,15.58,12.565,28.1425,7.5375,0.86,19.0975,1.24,1.07125,54.0725,1.05,0,0.01,950.0875,16.8,76,0,949.4,5.8,10.7,248,258,82
01-01-2024 06:00,29.0425,46.575,16.9875,13.7,30.685,8.22,0.86,20.8225,1.24,1.1275,56.14,1.05,0,0.01,950.285,16.1,77,0,948.7,6,14,245,258,87
01-01-2024 07:00,26.5875,42.6375,15.55,12.54,28.09,7.525,0.86,19.0625,1.24,2.02875,59.3725,1.05,0,0.01,949.99,16.4,73,0,948.6,6.9,17,242,257,81
01-01-2024 08:00,17.165,27.5275,10.04,8.0975,18.1375,4.8575,0.86,12.3075,1.24,3.54625,62.34,1.05,0,0.01,949.4725,16.5,73,0,949,8,18.9,243,257,62
01-01-2024 09:00,11.0225,17.675,6.4475,5.2,11.645,3.12,0.86,7.9025,1.24,3.315,65.595,1.05,0,0.01,949.1025,17.7,86,0,950.8,8.8,19.9,251,253,46
01-01-2024 10:00,9.1725,14.71,5.365,4.3275,9.6925,2.595,0.86,6.5775,1.24,3.925,68.57,1.05,0,0.01,948.735,17.4,88,0,951.6,8.6,18.5,255,262,38
01-01-2024 11:00,11.8375,18.985,6.925,5.585,12.5075,3.35,0.86,8.4875,1.24,4.288333333,68.71,1.05,0,0.01,948.2775,19.7,79,0,953.1,8.8,16.6,258,268,49
01-01-2024 12:00,5.3275,8.5425,3.115,2.5125,5.6275,1.5075,0.86,3.82,1.24,4.885,68.36,1.05,0,0.01,947.9175,22.6,68,0,954,9.7,13.3,272,270,22
01-01-2024 13:00,6.1,9.785,3.5675,2.8775,6.4475,1.7275,0.86,4.375,1.24,5.62375,69.5675,1.05,0,0.01,948.12,25,56,0,954.4,10.8,14.5,268,264,25
01-01-2024 14:00,11.13,17.85,6.51,5.25,11.76,3.15,0.86,7.98,1.24,5.95125,70.4825,1.05,0,0.21,949.125,27,47,0,954,12.8,16.6,260,257,46
01-01-2024 15:00,11.4275,18.3275,6.685,5.39,12.075,3.235,0.86,8.195,1.24,5.00125,71.8475,1.05,0,9.4825,950.07,28.3,41,0,952.9,14.8,18.9,252,249,48
01-01-2024 16:00,16.825,26.9825,9.84,7.935,17.7775,4.7625,0.86,12.0625,1.24,3.655,70.0075,1.05,0,73.6,951.05,29,38,0,951.9,15.8,20.8,249,247,61
01-01-2024 17:00,14.7175,23.6025,8.6075,6.9425,15.55,4.165,0.86,10.5525,1.24,3.1,57.2875,1.05,0,163.3925,951.69,29.2,37,0,951.2,17.3,22.6,247,245,57
01-01-2024 18:00,22.3425,35.83,13.0675,10.5375,23.605,6.3225,0.86,16.0175,1.24,2.90875,40.18,1.05,0,259.0075,951.7,29,38,0,950.7,16.5,21.6,254,252,73
01-01-2024 19:00,23.39,37.51,13.68,11.0325,24.7125,6.62,0.86,16.77,1.24,2.90875,28.17,1.05,0,321.1725,950.9475,28,42,0,950.7,16.7,22.3,256,256,75
01-01-2024 20:00,82.06375,123.13,19.97583333,46.74333333,56.26583333,42.3275,1.591666667,48.12666667,8.989166667,6.755,20.0675,1.05,0,350.4075,949.72,26.7,46,0,951.1,13,18.8,265,266,165
01-01-2024 21:00,59.71125,89.735,23.3325,49.50875,65.4675,39.94,1.92,29.2225,3.76625,2.435,17.5375,1.05,0,359.81,948.4525,23.8,46,0,951.2,9.1,19.5,261,266,153
01-01-2024 22:00,48.96541667,73.51875,13.81791667,43.84541667,37.00833333,37.48875,1.95,23.56125,3.92,2.823333333,15.535,1.05,0,320.84,947.5425,22,52,0,951.6,8,19.1,260,273,134
01-01-2024 23:00,38.745,55.38375,10.86166667,29.47,30.78916667,35.89875,1.385833333,37.75166667,2.836666667,1.23625,15.7225,1.05,0,241.9825,947.0675,20.3,59,0,952.2,6.2,16.1,260,280,109
02-01-2024 00:00,35.61416667,52.98694444,12.32333333,33.42666667,34.45166667,37.85125,1.513333333,28.93125,2.8,1.25875,18.155,1.05,0,148.9075,946.905,19,65,0,952.5,6,13.8,253,285,101
02-01-2024 01:00,32.91666667,49.24416667,11.28833333,32.34833333,31.01583333,40.04125,1.44,31.92,2.610833333,1.07125,22.89,1.05,0,46.07,947.1875,18.1,70,0,952.4,6,11.6,253,286,95
02-01-2024 02:00,34.78916667,52.24333333,14.145,44.94416667,40.15,46.19375,1.773333333,27.92,2.551666667,1.1275,31.7275,1.05,0,3.353333333,947.7525,17.4,75,0,952.2,6,9.2,253,291,99
02-01-2024 03:00,42.88666667,65.60916667,21.3875,54.8575,61.43333333,54.6525,1.93,44.86916667,4.486666667,2.02875,39.395,1.05,0,3.353333333,948.65,16.7,79,0,951.6,6.3,7.1,246,294,119
02-01-2024 04:00,48.96,75.14916667,17.39,60.31833333,49.47666667,61.99625,1.906666667,38.7175,10.2525,3.54625,47.3275,1.05,0,0.02,949.5775,17.1,78,0,951.3,5.1,5.4,266,318,134
02-01-2024 05:00,58.75166667,90.44083333,22.76833333,64.30583333,65.97916667,67.44125,1.8775,32.9775,10.58166667,3.315,55.575,1.05,0,0.02,950.02,17.5,76,0,950.9,3.5,5.1,336,8,153
02-01-2024 06:00,66.11416667,102.1266667,23.05166667,68.25,66.30333333,72.98,1.814166667,29.40083333,11.58916667,3.925,61.275,1.05,0,0.02,950.02,16.7,81,0,950.6,1.5,5.9,315,47,156
02-01-2024 07:00,71.415,110.4063889,22.59194444,70.26861111,64.33722222,77.56208333,1.734444444,29.40472222,11.91111111,4.288333333,64.8175,1.05,0,0.02,949.99,16.5,82,0,950.5,2.2,6.5,189,56,159
02-01-2024 08:00,71.62583333,111.2116667,17.9825,74.47916667,51.51416667,82.25625,1.796666667,14.08333333,12.755,4.885,66.7625,1.05,0,0.02,949.805,16.3,81,0,950.7,2.2,6.4,189,63,159
02-01-2024 09:00,71.0625,110.4941667,16.4025,78.70333333,45.02166667,87.85625,1.756666667,15.77666667,12.39166667,5.62375,68.7425,1.05,0,0.02,949.395,16.5,77,0,951.9,2.8,6.5,320,56,159
02-01-2024 10:00,68.12166667,105.635,16.16166667,78.79166667,45.46666667,89.99125,1.675833333,13.95583333,11.885,5.95125,70.2825,1.05,0,0.02,949.045,16.5,77,0,952.8,2.4,6,153,73,158
02-01-2024 11:00,67.23666667,104.2966667,13.0275,78.08083333,37.32833333,90.76125,1.618333333,9.980833333,11.3075,5.00125,71.9625,1.05,0,0.02,948.8125,17.6,73,0,953.8,2.6,7.1,56,66,157
02-01-2024 12:00,66.01083333,103.0575,12.33,79.9325,33.7425,91.57125,1.651666667,13.315,10.4475,3.655,72.7575,1.05,0,0.01,948.7,19.7,64,0,954.7,6.3,8.2,59,61,156
02-01-2024 13:00,67.0275,105.1033333,11.405,78.65916667,31.48083333,91.2075,1.595833333,14.37416667,10.02583333,3.1,73.665,1.05,0,0.01,949.065,22,56,0,954.9,8,10.4,72,76,157
